name,color,Inflow,Outflow,Netflow
Argentina,#1f77b4,2185889,208933,1976956
Belarus,#aec7e8,1128924,2283514,-1154590
Canada,#ff7f0e,3251353,1118883,2132470
China,#ffbb78,280380,2839228,-2558848
France,#2ca02c,5210326,1179510,4030816
Germany,#98df8a,6448710,2708837,3739873
India,#d62728,9125185,8260687,864498
Indonesia,#ff9896,1170217,239004,931213
Italy,#9467bd,863197,5310613,-4447416
Kazakhstan,#c5b0d5,3119091,1852318,1266773
Pakistan,#1f77b4,5105540,8522221,-3416681
Poland,#aec7e8,2088005,5211954,-3123949
Russian Federation,#ff7f0e,7318057,10565229,-3247172
Ukraine,#ffbb78,5438349,6362613,-924264
United Kingdom,#2ca02c,3018831,3903997,-885166
United States,#98df8a,11973797,1320831,10652966
Australia,#d62728,2456522,219001,2237521
Spain,#ff9896,355723,2439034,-2083311
